a	ഒന്ന്
pie	പൈ
piece	കഷണം
pile	മരത്തൂണ്
pilot	പൈലറ്റ്
pine	പൈൻമരം
pink	പിങ്ക്
pipe	പൈപ്പ്
pitch	പിച്ച്
place	സ്ഥലം
plain	പ്ലെയിൻ
plan	പദ്ധതി
plane	വിമാനം
planet	ഗ്രഹം
planning	ആസൂത്രണം
plant	ചെടി
plastic	പ്ലാസ്റ്റിക്
plate	പാത്രം
platform	പ്ലാറ്റ്ഫോം
play	കളിക്കുക
player	കളിക്കാരൻ
please	ദയവായി
pleasure	ആനന്ദം
plenty	ധാരാളം
plot	പ്ലോട്ട്
plural	ബഹുവചനം
plus	പ്ലസ്
PM	പി.എം.
pocket	പോക്കറ്റ്
poem	കവിത
poet	കവി
poetry	കവിത
point	പോയിന്റ്
pole	ധ്രുവം
police	പോലീസ്
policy	നയം
political	രാഷ്ട്രീയ
politically	രാഷ്ട്രീയമായി
politician	രാഷ്ട്രീയക്കാരൻ
politics	രാഷ്ട്രീയം
poll	വോട്ടെടുപ്പ്
pollution	അശുദ്ധമാക്കല്
pool	കുളം
poor	പാവം
pop	പോപ്പ്
popular	ജനപ്രിയമായ
populate	ജനസംഖ്യ
population	ജനസംഖ്യ
porch	പൂമുഖം
port	തുറമുഖം
portion	ഭാഗം
portrait	ഛായാചിത്രം
portray	ചിത്രീകരിക്കുക
pose	പോസ് ചെയ്യുക
position	സ്ഥാനം
positive	പോസിറ്റീവ്
possess	കൈവശം വയ്ക്കുക
possibility	സാധ്യത
possible	സാധ്യമാണ്
possibly	ഒരുപക്ഷേ
post	പോസ്റ്റ്
pot	കലം
potato	ഉരുളക്കിഴങ്ങ്
potential	സാധ്യതയുള്ള
potentially	സാധ്യതയുള്ളത്
pound	പൗണ്ട്
pour	പകരും
poverty	ദാരിദ്ര്യം
powder	പൊടി
power	ശക്തി
powerful	ശക്തമായ
practical	പ്രായോഗികം
practice	പരിശീലിക്കുക
pray	പ്രാർത്ഥിക്കുക
prayer	പ്രാർത്ഥന
precisely	കൃത്യമായും
predict	പ്രവചിക്കുക
prefer	ഇഷ്ടപ്പെടുന്നു
preference	മുൻഗണന
pregnancy	ഗർഭം
pregnant	ഗർഭിണി
preparation	തയ്യാറെടുപ്പ്
prepare	തയ്യാറാക്കുക
prescription	കുറിപ്പടി
presence	സാന്നിദ്ധ്യം
present	വർത്തമാന
presentation	അവതരണം
preserve	സംരക്ഷിക്കുക
president	പ്രസിഡന്റ്
presidential	പ്രസിഡന്റ്
press	അമർത്തുക
pressure	സമ്മർദ്ദം
pretend	നടിക്കുക
pretty	സുന്ദരി
prevent	തടയാൻ
previous	മുമ്പത്തെ
previously	മുമ്പ്
price	വില
pride	അഹംഭാവം
priest	പുരോഹിതൻ
primarily	പ്രാഥമികമായി
primary	പ്രാഥമിക
prime	പ്രൈം
principal	പ്രിൻസിപ്പൽ
principle	തത്വം
print	അച്ചടിക്കുക
prior	മുമ്പ്
priority	മുൻഗണന
prison	ജയിൽ
prisoner	തടവുകാരൻ
privacy	സ്വകാര്യത
private	സ്വകാര്യ
probable	സാധ്യതയുള്ളത്
probably	ഒരുപക്ഷേ
problem	പ്രശ്നം
procedure	നടപടിക്രമം
proceed	തുടരുക
process	പ്രക്രിയ
produce	ഉൽപ്പാദിപ്പിക്കുക
producer	നിർമ്മാതാവ്
product	ഉൽപ്പന്നം
production	ഉത്പാദനം
profession	തൊഴിൽ
professional	പ്രൊഫഷണൽ
professor	പ്രൊഫസർ
profile	പ്രൊഫൈൽ
profit	ലാഭം
program	പ്രോഗ്രാം
progress	പുരോഗതി
project	പദ്ധതി
prominent	പ്രമുഖൻ
promise	വാഗ്ദാനം
promote	പ്രോത്സാഹിപ്പിക്കുക
prompt	ഉടനടി
proof	തെളിവ്
proper	ഉചിതമായ
properly	ശരിയായി
property	സ്വത്ത്
proportion	അനുപാതം
proposal	നിർദ്ദേശം
propose	നിർദ്ദേശിക്കുക
proposed	നിർദ്ദേശിച്ചു
prosecutor	പ്രോസിക്യൂട്ടർ
prospect	പ്രതീക്ഷ
protect	സംരക്ഷിക്കുക
protection	സംരക്ഷണം
protein	പ്രോട്ടീൻ
protest	പ്രതിഷേധം
proud	അഭിമാനിക്കുന്നു
prove	തെളിയിക്കുക
provide	നൽകാൻ
provider	ദാതാവ്
province	പ്രവിശ്യ
provision	വ്യവസ്ഥ
psychological	മനlogicalശാസ്ത്രപരമായ
psychologist	മന psychoശാസ്ത്രജ്ഞൻ
psychology	മന psychoശാസ്ത്രം
public	പൊതു
publication	പ്രസിദ്ധീകരണം
publicly	പരസ്യമായി
publish	പ്രസിദ്ധീകരിക്കുക
publisher	പ്രസാധകൻ
pull	വലിക്കുക
punishment	ശിക്ഷ
purchase	വാങ്ങൽ
pure	ശുദ്ധമായ
purpose	ഉദ്ദേശ്യം
pursue	പിന്തുടരുക
push	തള്ളുക
put	വെച്ചു
qualify	യോഗ്യത നേടുക
quality	ഗുണമേന്മയുള്ള
quart	ക്വാർട്ട്
quarter	പാദത്തിൽ
quarterback	ക്വാർട്ടർബാക്ക്
question	ചോദ്യം
quick	വേഗം
quickly	വേഗം
quiet	ശാന്തമായി
quietly	നിശബ്ദമായി
quit	ഉപേക്ഷിക്കുക
quite	തികച്ചും
quote	ഉദ്ധരണി
quotient	ഉദ്ധരണി
race	വംശം
racial	വംശീയ
radical	തീവ്രമായ
radio	റേഡിയോ
rail	റെയിൽ
rain	മഴ
raise	ഉയർത്തുക
ran	ഓടി
range	ശ്രേണി
rank	റാങ്ക്
rapid	ദ്രുതഗതിയിലുള്ള
rapidly	അതിവേഗം
rare	അപൂർവ്വമായി
rarely	അപൂർവ്വമായി
rate	നിരക്ക്
rather	പകരം
rating	റേറ്റിംഗ്
ratio	അനുപാതം
raw	അസംസ്കൃത
reach	എത്തുക
react	പ്രതികരിക്കുക
reaction	പ്രതികരണം
read	വായിക്കുക
reader	വായനക്കാരൻ
reading	വായന
ready	തയ്യാറാണ്
real	യഥാർത്ഥ
reality	യാഥാർത്ഥ്യം
realize	തിരിച്ചറിയുക
really	ശരിക്കും
reason	കാരണം
reasonable	ന്യായമായ
recall	തിരിച്ചുവിളിക്കുക
receive	സ്വീകരിക്കുക
recent	സമീപകാലത്ത്
recently	അടുത്തിടെ
recipe	പാചകക്കുറിപ്പ്
recognition	അംഗീകാരം
recognize	തിരിച്ചറിയുക
recommend	ശുപാർശ ചെയ്യുന്നു
recommendation	ശുപാർശ
record	റെക്കോർഡ്
recording	റെക്കോർഡിംഗ്
recover	വീണ്ടെടുക്കുക
recovery	വീണ്ടെടുക്കൽ
recruit	റിക്രൂട്ട് ചെയ്യുക
red	ചുവപ്പ്
reduce	കുറയ്ക്കുക
reduction	കുറയ്ക്കൽ
refer	റഫർ ചെയ്യുക
reference	റഫറൻസ്
reflect	പ്രതിഫലിപ്പിക്കുക
reflection	പ്രതിഫലനം
reform	പുനഃസംഘടന
refugee	അഭയാർത്ഥി
refuse	നിരസിക്കുക
regard	പരിഗണിക്കുക
regarding	സംബന്ധിച്ച്
regardless	പരിഗണിക്കാതെ
regime	ഭരണകൂടം
region	പ്രദേശം
regional	പ്രാദേശിക
register	രജിസ്റ്റർ ചെയ്യുക
regular	പതിവ്
regularly	പതിവായി
regulate	നിയന്ത്രിക്കുക
regulation	നിയന്ത്രണം
reinforce	ശക്തിപ്പെടുത്തുക
reject	നിരസിക്കുക
relate	ബന്ധപ്പെടുക
relation	ബന്ധം
relationship	ബന്ധം
relative	ബന്ധു
relatively	താരതമ്യേന
relax	ശാന്തമാകൂ
release	പ്രകാശനം
relevant	പ്രസക്തമായ
relief	ആശ്വാസം
religion	മതം
religious	മതപരമായ
rely	ആശ്രയിക്കുക
remain	അവശേഷിക്കുന്നു
remaining	അവശേഷിക്കുന്നു
remarkable	ശ്രദ്ധേയമാണ്
remember	ഓർക്കുക
remind	ഓർമ്മിപ്പിക്കുന്നു
remote	വിദൂര
remove	നീക്കം ചെയ്യുക
repeat	ആവർത്തിച്ച്
repeatedly	ആവർത്തിച്ച്
replace	മാറ്റിസ്ഥാപിക്കുക
reply	മറുപടി
report	റിപ്പോർട്ട്
reporter	ലേഖകന്
represent	പ്രതിനിധീകരിക്കുന്നു
representation	പ്രാതിനിധ്യം
representative	പ്രതിനിധി
Republican	റിപ്പബ്ലിക്കൻ
reputation	മതിപ്പ്
request	അഭ്യർത്ഥന
require	ആവശ്യമാണ്
requirement	ആവശ്യം
research	ഗവേഷണം
researcher	ഗവേഷകൻ
resemble	സാദൃശ്യം
reservation	സംവരണം
resident	താമസക്കാരൻ
resist	പ്രതിരോധിക്കുക
resistance	പ്രതിരോധം
resolution	പ്രമേയം
resolve	പരിഹരിക്കുക
resort	റിസോർട്ട്
resource	വിഭവം
respect	ബഹുമാനം
respond	പ്രതികരിക്കുക
respondent	പ്രതിഭാഗം
response	പ്രതികരണം
responsibility	ഉത്തരവാദിത്തം
responsible	ഉത്തരവാദിയായ
rest	വിശ്രമം
restaurant	റെസ്റ്റോറന്റ്
restore	പുന .സ്ഥാപിക്കുക
restriction	നിയന്ത്രണവുമായി
result	ഫലമായി
retain	നിലനിർത്തുക
retire	വിരമിക്കുക
retirement	വിരമിക്കൽ
return	മടക്കം
reveal	വെളിപ്പെടുത്തുക
revenue	വരുമാനം
review	അവലോകനം
revolution	വിപ്ലവം
rhythm	താളം
rice	അരി
rich	സമ്പന്നൻ
rid	മോചിപ്പിക്കുക
ride	സവാരി
rifle	റൈഫിൾ
right	ശരിയാണ്
ring	വളയം
rise	ഉയരുക
risk	റിസ്ക്
river	നദി
road	റോഡ്
rock	പാറ
role	പങ്ക്
roll	ചുരുൾ
romantic	റൊമാന്റിക്
roof	മേൽക്കൂര
room	മുറി
root	റൂട്ട്
rope	കയർ
rose	റോസ്
rough	പരുക്കൻ
roughly	ഏകദേശം
round	ചുറ്റും
route	വഴി
routine	ദിനചര്യ
row	വരി
rub	തടവുക
rule	ഭരണം
run	ഓടുക
running	പ്രവർത്തിക്കുന്ന
rural	ഗ്രാമീണ
rush	തിരക്ക്
Russian	റഷ്യൻ
sacred	പവിത്രമായ
sad	ദുഃഖകരമായ
safe	സുരക്ഷിതം
safety	സുരക്ഷ
said	പറഞ്ഞു
sail	കപ്പൽ
sake	നിമിത്തം
salad	സാലഡ്
salary	ശമ്പളം
sale	വിൽപ്പന
sales	വിൽപന
salt	ഉപ്പ്
same	അതേ
sample	സാമ്പിൾ
sanction	അനുമതി
sand	മണല്
sat	ഇരുന്നു
satellite	ഉപഗ്രഹം
satisfaction	സംതൃപ്തി
satisfy	തൃപ്തിപ്പെടുത്തുക
sauce	സോസ്
save	രക്ഷിക്കും
saving	സംരക്ഷിക്കുന്നത്
saw	കണ്ടു
say	പറയുക
scale	സ്കെയിൽ
scandal	കോഴ
scared	പേടിച്ചു
scenario	രംഗം
scene	രംഗം
schedule	പട്ടിക
scheme	പദ്ധതി
scholar	പണ്ഡിതൻ
scholarship	സ്കോളർഷിപ്പ്
school	സ്കൂൾ
science	ശാസ്ത്രം
scientific	ശാസ്ത്രീയമായ
scientist	ശാസ്ത്രജ്ഞൻ
scope	ഭാവിയുളള
score	സ്കോർ
scream	നിലവിളിക്കുക
screen	സ്ക്രീൻ
script	തിരക്കഥ
sea	കടൽ
search	തിരയുക
season	സീസൺ
seat	ഇരിപ്പിടം
second	രണ്ടാമത്
secret	രഹസ്യം
secretary	സെക്രട്ടറി
section	വിഭാഗം
sector	മേഖല
secure	സുരക്ഷിത
security	സുരക്ഷ
see	കാണുക
seed	വിത്ത്
seek	അന്വേഷിക്കുക
seem	തോന്നുന്നു
segment	സെഗ്മെന്റ്
seize	പിടിച്ചെടുക്കുക
select	തിരഞ്ഞെടുക്കുക
selection	തിരഞ്ഞെടുപ്പ്
self	സ്വയം
sell	വിൽക്കുക
Senate	സെനറ്റ്
senator	സെനറ്റർ
send	അയയ്ക്കുക
senior	സീനിയർ
sense	അർത്ഥം
sensitive	സെൻസിറ്റീവ്
sent	അയച്ചു
sentence	വാചകം
separate	വെവ്വേറെ
sequence	ക്രമം
series	പരമ്പര
serious	ഗുരുതരമായ
seriously	ഗൗരവമായി
serve	സേവിക്കുക
service	സേവനം
session	സെഷൻ
set	സെറ്റ്
setting	ക്രമീകരണം
settle	തീർക്കുക
settlement	സെറ്റിൽമെന്റ്
seven	ഏഴ്
several	നിരവധി
severe	കഠിനമായ
sex	ലൈംഗികത
sexual	ലൈംഗിക
shade	തണല്
shadow	നിഴൽ
shake	കുലുക്കുക
shall	ചെയ്യും
shape	ആകൃതി
share	പങ്കിടുക
sharp	മൂർച്ചയുള്ള
she	അവൾ
sheet	ഷീറ്റ്
shelf	ഷെൽഫ്
shell	ഷെൽ
shelter	അഭയം
shift	ഷിഫ്റ്റ്
shine	തിളങ്ങുക
ship	കപ്പൽ
shirt	ഷർട്ട്
shit	ചാണകം
shock	ഞെട്ടൽ
shoe	ഷൂ
shoot	ഷൂട്ട്
shooting	ഷൂട്ടിംഗ്
shop	കട
shopping	ഷോപ്പിംഗ്
shore	തീരം
short	ചെറുത്
shortly	താമസിയാതെ
shot	വെടിയേറ്റു
should	വേണം
shoulder	തോൾ
shout	ആർപ്പുവിളിക്കുക
show	കാണിക്കുക
shower	ഷവർ
shrug	തോളിലേറ്റി
shut	അടയ്ക്കുക
sick	അസുഖം
side	വശം
sigh	നെടുവീർപ്പിടുക
sight	കാഴ്ച
sign	അടയാളം
signal	സിഗ്നൽ
significance	പ്രാധാന്യത്തെ
significant	പ്രധാനപ്പെട്ട
significantly	ഗണ്യമായി
silence	നിശ്ശബ്ദം
silent	നിശബ്ദമായി
silver	വെള്ളി
similar	സമാനമായ
similarly	സമാനമായി
simple	ലളിത
simply	ലളിതമായി
sin	പാപം
since	മുതലുള്ള
sing	പാടുക
singer	ഗായകൻ
single	സിംഗിൾ
sink	മുങ്ങുക
sir	സാർ
sister	സഹോദരി
sit	ഇരിക്കൂ
site	സൈറ്റ്
situation	സാഹചര്യം
six	ആറ്
size	വലിപ്പം
ski	സ്കീ
skill	വൈദഗ്ദ്ധ്യം
skin	തൊലി
sky	ആകാശം
slave	അടിമ
sleep	ഉറക്കം
slice	മുറിക്കുക
slide	സ്ലൈഡ്
slight	ചെറിയ
slightly	ചെറുതായി
slip	തെന്നുക
slow	പതുക്കെ
slowly	പതുക്കെ
small	ചെറിയ
smart	സ്മാർട്ട്
smell	മണം
smile	പുഞ്ചിരി
smoke	പുക
smooth	മിനുസമാർന്ന
snap	സ്നാപ്പ്
snow	മഞ്ഞ്
so	അങ്ങനെ
so-called	വിളിക്കപ്പെടുന്ന
soccer	സോക്കർ
social	സാമൂഹിക
society	സമൂഹം
soft	മൃദു
software	സോഫ്റ്റ്വെയർ
soil	മണ്ണ്
solar	സോളാർ
soldier	പട്ടാളക്കാരൻ
solid	ഖര
solution	പരിഹാരം
solve	പരിഹരിക്കുക
some	ചിലത്
somebody	ഏതോഒരാള്
somehow	എങ്ങനെയെങ്കിലും
someone	ആരെങ്കിലും
something	എന്തോ
sometimes	ചിലപ്പോൾ
somewhat	കുറച്ച്
somewhere	എവിടെയോ
son	മകൻ
song	പാട്ട്
soon	ഉടൻ
sophisticated	സങ്കീർണ്ണമായ
sorry	ക്ഷമിക്കണം
sort	അടുക്കുക
soul	ആത്മാവ്
sound	ശബ്ദം
soup	സൂപ്പ്
source	ഉറവിടം
south	തെക്ക്
southern	തെക്കൻ
Soviet	സോവിയറ്റ്
space	സ്ഥലം
Spanish	സ്പാനിഷ്
speak	സംസാരിക്കുക
speaker	സ്പീക്കർ
special	പ്രത്യേക
specialist	സ്പെഷ്യലിസ്റ്റ്
species	സ്പീഷീസ്
specific	നിർദ്ദിഷ്ട
specifically	പ്രത്യേകമായി
speech	പ്രസംഗം
speed	വേഗത
spell	അക്ഷരത്തെറ്റ്
spend	ചെലവഴിക്കുക
spending	ചെലവഴിക്കുന്നത്
spin	സ്പിൻ
spirit	ആത്മാവ്
spiritual	ആത്മീയം
split	രണ്ടായി പിരിയുക
spoke	സംസാരിച്ചു
spokesman	വക്താവ്
sport	കായിക
spot	പുള്ളി
spread	വ്യാപനം
spring	സ്പ്രിംഗ്
square	സമചതുരം Samachathuram
squeeze	ചൂഷണം ചെയ്യുക
stability	സ്ഥിരത
stable	സ്ഥിരതയുള്ള
staff	ജീവനക്കാർ
stage	സ്റ്റേജ്
stair	പടികൾ
stake	ഓഹരി
stand	നിൽക്കുക
standard	സ്റ്റാൻഡേർഡ്
standing	സ്റ്റാന്റിംഗ്
star	നക്ഷത്രം
stare	തുറിച്ചുനോക്കുക
start	ആരംഭിക്കുക
state	സംസ്ഥാനം
statement	പ്രസ്താവന
station	സ്റ്റേഷൻ
statistics	സ്ഥിതിവിവരക്കണക്കുകൾ
status	പദവി
stay	താമസിക്കുക
stead	പകരം
steady	സ്ഥിരതയുള്ള
steal	മോഷ്ടിക്കുക
steam	നീരാവി
steel	ഉരുക്ക്
step	ഘട്ടം
stick	വടി
still	നിശ്ചലമായ
stir	ഇളക്കുക
stock	സംഭരിക്കുക
stomach	വയറ്
stone	കല്ല്
stood	നിന്നു
stop	നിർത്തുക
storage	സംഭരണം
store	സ്റ്റോർ
storm	കൊടുങ്കാറ്റ്
story	കഥ
straight	ഋജുവായത്
strange	വിചിത്രം
stranger	അപരിചിതൻ
strategic	തന്ത്രപരമായ
strategy	തന്ത്രം
stream	ധാര
street	തെരുവ്
strength	ശക്തി
strengthen	ശക്തിപ്പെടുത്തുക
stress	സമ്മർദ്ദം
stretch	വലിച്ചുനീട്ടുക
strike	സമരം
string	സ്ട്രിംഗ്
strip	സ്ട്രിപ്പ്
stroke	സ്ട്രോക്ക്
strong	ശക്തമായ
strongly	ശക്തമായി
structure	ഘടന
struggle	സമരം
student	വിദ്യാർത്ഥി
studio	സ്റ്റുഡിയോ
study	പഠനം
stuff	സാധനങ്ങൾ
stupid	മണ്ടൻ
style	ശൈലി
subject	വിഷയം
submit	സമർപ്പിക്കുക
subsequent	തുടർന്നുള്ള
substance	വസ്തു
substantial	ഗണ്യമായ
subtract	കുറയ്ക്കുക
succeed	വിജയിക്കുക
success	വിജയം
successful	വിജയിച്ചു
successfully	വിജയകരമായി
such	അത്തരം
sudden	പെട്ടെന്ന്
suddenly	പെട്ടെന്ന്
sue	കേസെടുക്കുക
suffer	സഹിക്കുന്നു
sufficient	മതി
suffix	പ്രത്യയം
sugar	പഞ്ചസാര
suggest	നിർദ്ദേശിക്കുന്നു
suggestion	നിർദ്ദേശം
suicide	ആത്മഹത്യ
suit	സ്യൂട്ട്
summer	വേനൽ
summit	ഉച്ചകോടി
sun	സൂര്യൻ
super	സൂപ്പർ
supply	വിതരണം
support	പിന്തുണ
supporter	പിന്തുണയ്ക്കുന്നയാൾ
suppose	കരുതുക
supposed	കരുതപ്പെടുന്നു
Supreme	പരമോന്നത
sure	ഉറപ്പാണ്
surely	തീർച്ചയായും
surface	ഉപരിതലം
surgery	ശസ്ത്രക്രിയ
surprise	ആശ്ചര്യം
surprised	ആശ്ചര്യപ്പെട്ടു
surprising	അത്ഭുതപ്പെടുത്തുന്നു
surprisingly	അത്ഭുതകരമായി
surround	ചുറ്റും
survey	സർവേ
survival	അതിജീവനം
survive	അതിജീവിക്കുക
survivor	അതിജീവിച്ചയാൾ
suspect	സംശയിക്കുന്നു
sustain	നിലനിർത്തുക
swear	ആണയിടുക
sweep	തൂത്തുവാരുക
sweet	മധുരം
swim	നീന്തുക
swing	ഊഞ്ഞാലാടുക
switch	സ്വിച്ച്
syllable	അക്ഷരം
symbol	ചിഹ്നം
symptom	ലക്ഷണം
system	സിസ്റ്റം
table	മേശ
tablespoon	ടേബിൾസ്പൂൺ
tactic	തന്ത്രം
tail	വാൽ
take	എടുക്കുക
tale	കഥ
talent	പ്രതിഭ
talk	സംസാരിക്കുക
tall	ഉയരമുള്ള
tank	ടാങ്ക്
tap	ടാപ്പ്
tape	ടേപ്പ്
target	ലക്ഷ്യം
task	ചുമതല
taste	രുചി
tax	നികുതി
taxpayer	നികുതിദായകൻ
tea	ചായ
teach	പഠിപ്പിക്കുക
teacher	അധ്യാപകൻ
teaching	പഠിപ്പിക്കുന്നു
team	ടീം
tear	കണ്ണുനീർ
teaspoon	ടീസ്പൂൺ
technical	സാങ്കേതികമായ
technique	സാങ്കേതികത
technology	സാങ്കേതികവിദ്യ
teen	കൗമാരക്കാരൻ
teenager	കൗമാരക്കാരൻ
teeth	പല്ലുകൾ
telephone	ടെലിഫോണ്
telescope	ദൂരദർശിനി
television	ടെലിവിഷൻ
tell	പറയുക
temperature	താപനില
temporary	താൽക്കാലികം
ten	പത്ത്
tend	പ്രവണത
tendency	പ്രവണത
tennis	ടെന്നീസ്
tension	ടെൻഷൻ
tent	കൂടാരം
term	കാലാവധി
terms	നിബന്ധനകൾ
terrible	ഭയങ്കരം
territory	പ്രദേശം
terror	ഭീകരത
terrorism	തീവ്രവാദം
terrorist	തീവ്രവാദി
test	പരിശോധന
testify	സാക്ഷ്യപ്പെടുത്തുന്നു
testimony	സാക്ഷ്യം
testing	പരിശോധന
text	ടെക്സ്റ്റ്
than	അധികം
thank	നന്ദി
thanks	നന്ദി
that	അത്
the	എ
theater	തിയേറ്റർ
their	അവരുടെ
them	അവരെ
theme	തീം
themselves	സ്വയം
then	പിന്നെ
theory	സിദ്ധാന്തം
therapy	തെറാപ്പി
there	അവിടെ
therefore	അതുകൊണ്ടു
these	ഇവ
they	അവർ
thick	കട്ടിയുള്ള
thin	നേർത്ത
thing	കാര്യം
think	ചിന്തിക്കുക
thinking	ചിന്തിക്കുന്നതെന്ന്
third	മൂന്നാമത്
thirty	മുപ്പത്
this	ഈ
those	ആ
though	എങ്കിലും
thought	ചിന്തിച്ചു
thousand	ആയിരം
threat	ഭീഷണി
threaten	ഭീഷണിപ്പെടുത്തുന്നു
three	മൂന്ന്
throat	തൊണ്ട
through	വഴി
throughout	ഉടനീളം
throw	എറിയുക
thus	അങ്ങനെ
ticket	ടിക്കറ്റ്
tie	കെട്ടുക
tight	ഇറുകിയ
time	സമയം
tiny	ചെറിയ
tip	നുറുങ്ങ്
tire	ടയർ
tired	ക്ഷീണിച്ചു
tissue	ടിഷ്യു
title	ശീർഷകം
to	വരെ
tobacco	പുകയില
today	ഇന്ന്
toe	കാൽവിരൽ
together	ഒരുമിച്ച്
told	പറഞ്ഞു
tomato	തക്കാളി
tomorrow	നാളെ
tone	ടോൺ
tongue	നാവ്
tonight	ഇന്ന് രാത്രി
too	വളരെ
took	എടുത്തു
tool	ഉപകരണം
tooth	പല്ല്
top	മുകളിൽ
topic	വിഷയം
toss	ടോസ്
total	ആകെ
totally	പൂർണ്ണമായും
touch	സ്പർശിക്കുക
tough	കഠിനമായ
tour	പര്യടനം
tourist	ടൂറിസ്റ്റ്
tournament	ടൂർണമെന്റ്
toward	നേരെ
towards	നേരെ
tower	ഗോപുരം
town	പട്ടണം
toy	കളിപ്പാട്ടം
trace	ട്രെയ്സ്
track	ട്രാക്ക്
trade	വ്യാപാരം
tradition	പാരമ്പര്യം
traditional	പരമ്പരാഗത
traffic	ട്രാഫിക്
tragedy	ദുരന്തം
trail	പാത
train	ട്രെയിൻ
training	പരിശീലനം
transfer	കൈമാറ്റം
transform	രൂപാന്തരപ്പെടുത്തുക
transformation	രൂപാന്തരം
transition	പരിവർത്തനം
translate	വിവർത്തനം ചെയ്യുക
transportation	ഗതാഗതം
travel	യാത്ര
treat	ചികിത്സ
treatment	ചികിത്സ
treaty	ഉടമ്പടി
tree	വൃക്ഷം
tremendous	വമ്പിച്ച
trend	പ്രവണത
trial	വിചാരണ
triangle	ത്രികോണം
tribe	ഗോത്രം
trick	തന്ത്രം
trip	യാത്ര
troop	സൈന്യം
trouble	കുഴപ്പം
truck	ട്രക്ക്
truly	ശരിക്കും
trust	ആശ്രയം
truth	സത്യം
try	ശ്രമിക്കുക
tube	ട്യൂബ്
tunnel	തുരങ്കം
turn	വളവ്
TV	ടി.വി
twelve	പന്ത്രണ്ട്
twenty	ഇരുപത്
twice	രണ്ടുതവണ
twin	ഇരട്ട
two	രണ്ട്
type	തരം
typical	സാധാരണ
typically	താരതമ്യേനെ
ugly	വൃത്തികെട്ട
ultimate	ആത്യന്തികം
ultimately	ആത്യന്തികമായി
unable	കഴിയുന്നില്ല
uncle	അമ്മാവൻ
under	കീഴിൽ
undergo	വിധേയമാവുക
understand	മനസ്സിലാക്കുക
understanding	മനസ്സിലാക്കൽ
unfortunately	നിർഭാഗ്യവശാൽ
uniform	ഒരേപോലെ
union	യൂണിയൻ
unique	അതുല്യമായ
unit	യൂണിറ്റ്
United	യുണൈറ്റഡ്
universal	സാർവത്രിക
universe	പ്രപഞ്ചം
university	യൂണിവേഴ്സിറ്റി
unknown	അജ്ഞാതമാണ്
unless	അല്ലാതെ
unlike	വ്യത്യസ്തമായി
unlikely	സാധ്യതയില്ല
until	വരുവോളം
unusual	അസാധാരണമായ
up	മുകളിലേക്ക്
upon	മേൽ
upper	മുകളിലെ
urban	നഗര
urge	പ്രേരിപ്പിക്കുന്നു
us	ഞങ്ങളെ
use	ഉപയോഗിക്കുക
used	ഉപയോഗിച്ചു
useful	ഉപയോഗപ്രദമാണ്
user	ഉപയോക്താവ്
usual	സാധാരണ
usually	സാധാരണയായി
utility	യൂട്ടിലിറ്റി
vacation	അവധിക്കാലം
valley	താഴ്വര
valuable	വിലപ്പെട്ട
value	മൂല്യം
variable	വേരിയബിൾ
variation	വ്യതിയാനം
variety	വൈവിധ്യം
various	വിവിധ
vary	വ്യത്യാസപ്പെടുന്നു
vast	വിശാലമായ
vegetable	പച്ചക്കറി
vehicle	വാഹനം
venture	സംരംഭം
verb	ക്രിയ
version	പതിപ്പ്
versus	എതിരായി
very	വളരെ
vessel	പാത്രം
veteran	വിമുക്തഭടൻ
via	വഴി
victim	ഇര
victory	വിജയം
video	വീഡിയോ
view	കാഴ്ച
viewer	കാഴ്ചക്കാരൻ
village	ഗ്രാമം
violate	ലംഘിക്കുന്നു
violation	ലംഘനം
violence	അക്രമം
violent	അക്രമാസക്തമായ
virtually	ഫലത്തിൽ
virtue	സദാചാരം
virus	വൈറസ്
visible	ദൃശ്യം
vision	ദർശനം
visit	സന്ദർശിക്കുക
visitor	സന്ദർശകൻ
visual	ദൃശ്യം
vital	സുപ്രധാനം
voice	ശബ്ദം
volume	വ്യാപ്തം
volunteer	സദ്ധന്നസേവിക
vote	വോട്ടുചെയ്യുക
voter	വോട്ടർ
vowel	സ്വരാക്ഷരം
vs	വേഴ്സസ്
vulnerable	ദുർബല
wage	വേതന
wait	കാത്തിരിക്കുക
wake	ഉണരുക
walk	നടക്കുക
wall	മതിൽ
wander	അലഞ്ഞുതിരിയുന്നു
want	വേണം
war	യുദ്ധം
warm	ചൂടുള്ള
warn	മുന്നറിയിപ്പ്
warning	മുന്നറിയിപ്പ്
was	ആയിരുന്നു
wash	കഴുകുക
waste	മാലിന്യങ്ങൾ
watch	കാവൽ
water	വെള്ളം
wave	തരംഗം
way	വഴി
we	ഞങ്ങൾ
weak	ദുർബല
wealth	സമ്പത്ത്
wealthy	സമ്പന്നൻ
weapon	ആയുധം
wear	ധരിക്കുക
weather	കാലാവസ്ഥ
wedding	കല്യാണം
week	ആഴ്ച
weekend	വാരാന്ത്യം
weekly	പ്രതിവാര
weigh	തൂക്കുക
weight	ഭാരം
welcome	സ്വാഗതം
welfare	ക്ഷേമം
well	നന്നായി
went	പോയി
were	ആയിരുന്നു
west	പടിഞ്ഞാറ്
western	പടിഞ്ഞാറ്
wet	ആർദ്ര
what	എന്ത്
whatever	എന്തുതന്നെയായാലും
wheel	ചക്രം
when	എപ്പോൾ
